"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","All",1,0,1,0.500003,0.587449,0.179533,1,1,0.75389,0.1,,,0,,,,,0,0,0.179533,0.500003,10.3826,9.44846,10.3826,9.44846,0.168907,0.125804,0.165846,0.29165,0.116611,0.122135,0,0,0,,0,0,0,0.500004,0,-4.37299E-07,0.587449,0.179533,0.412551,0.407915,0,0,0,0.0897662,0.0897671
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","DisputeArises",1,0,1,0.500003,0.587449,0.179533,1,1,0.75389,0.1,,,0,,,,,0,0,0.179533,0.500003,10.3826,9.44846,10.3826,9.44846,0.168907,0.125804,0.165846,0.29165,0.116611,0.122135,0,0,0,,0,0,0,0.500004,0,-4.37299E-07,0.587449,0.179533,0.412551,0.407915,0,0,0,0.0897662,0.0897671
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","PFiles",0.5874,0,0.587449,0.708104,1,0.305615,1,1,0.75389,0.1,,,0,,,,,0,0,0.305615,0.500003,10.6514,9.06112,10.6514,9.06112,0.287527,0.214153,0.197835,0.411988,0.198504,0.123427,0,0,0,,0,0,0,0.766664,0,0.0993132,1,0.305615,0,0.694385,0,0,0,0.152807,0.152808
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","DAnswers",0.1795,0,0.179533,0.500001,1,1,1,1,0.75389,0.1,,,0,,,,,0,0,1,0.500003,10.2,9.2,10.2,9.2,0.6,0.437231,0.346044,0.783275,0.386027,0.358669,0,0,0,,0,0,0,0.500002,0,0.59732,1,1,0,0,0,0,0,0.499997,0.500003
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Litigated",0.1795,0,0.179533,0.500001,1,1,1,1,0.75389,0.1,,,0,,,,,0,0,1,0.500003,10.2,9.2,10.2,9.2,0.6,0.437231,0.346044,0.783275,0.386027,0.358669,0,0,0,,0,0,0,0.500002,0,0.59732,1,1,0,0,0,0,0,0.499997,0.500003
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Not Litigated",0.8205,0,0.820467,0.500004,0.497175,0,1,1,,,,,0,,,,,0,0,0,,10.4226,9.50283,10.4226,9.50283,0.0745762,0.0576579,0.126415,0.184073,0.0576579,0.0703766,0,0,0,,0,0,0,0.500004,0,-0.130705,0.497175,0,0.502825,0.497175,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Settles",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Tried",0.1795,0,0.179533,0.500001,1,1,1,1,0.75389,0.1,,,0,,,,,0,0,1,0.500003,10.2,9.2,10.2,9.2,0.6,0.437231,0.346044,0.783275,0.386027,0.358669,0,0,0,,0,0,0,0.500002,0,0.59732,1,1,0,0,0,0,0,0.499997,0.500003
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","PWins",0.0898,0,0.0897671,0.565793,1,1,1,1,0.781047,0.1,,,0,,,,,0,0,1,1,10.7,8.7,10.7,8.7,0.6,0.692086,0.182374,0.87446,0.717338,0.0547122,0,0,0,,0,0,0,0.607914,0,0.597333,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","DWins",0.0898,0,0.0897662,0.434209,1,1,1,1,0.726732,0.1,,,0,,,,,0,0,1,0,9.7,9.7,9.7,9.7,0.6,0.182373,0.509715,0.692089,0.054712,0.66263,0,0,0,,0,0,0,0.392089,0,0.597306,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","817","Rounds1",0.1795,0,0.179533,0.500001,1,1,1,1,0.75389,0.1,,,0,,,,,0,0,1,0.500003,10.2,9.2,10.2,9.2,0.6,0.437231,0.346044,0.783275,0.386027,0.358669,0,0,0,,0,0,0,0.500002,0,0.59732,1,1,0,0,0,0,0,0.499997,0.500003
